😀,Smileys,0,
😁,Smileys,0,
😂,Smileys,0,
🤣,Smileys,0,
😃,Smileys,0,
😄,Smileys,0,
😅,Smileys,0,
😆,Smileys,0,
😉,Smileys,0,
😊,Smileys,0,
😋,Smileys,0,
😎,Smileys,0,
😍,Smileys,0,
😘,Smileys,0,
🥰,Smileys,0,
😗,Smileys,0,
😙,Smileys,0,
😚,Smileys,0,
☺️,Smileys,0,
🙂,Smileys,0,
🤗,Smileys,0,
🤩,Smileys,0,
🤔,Smileys,1,고민
🤨,Smileys,0,
😐,Smileys,0,
😑,Smileys,0,
😶,Smileys,0,
🙄,Smileys,0,
😏,Smileys,0,
😣,Smileys,0,
😥,Smileys,0,
😮,Smileys,0,
🤐,Smileys,0,
😯,Smileys,0,
😪,Smileys,0,
😫,Smileys,0,
😴,Smileys,0,
😌,Smileys,0,
😛,Smileys,0,
😜,Smileys,0,
😝,Smileys,0,
🤤,Smileys,0,
😒,Smileys,0,
😓,Smileys,0,
😔,Smileys,0,
😕,Smileys,0,
🙃,Smileys,0,
🤑,Smileys,0,
😲,Smileys,0,
☹️,Smileys,0,
🙁,Smileys,0,
😖,Smileys,0,
😞,Smileys,0,
😟,Smileys,0,
😤,Smileys,0,
😢,Smileys,0,
😭,Smileys,0,
😦,Smileys,0,
😧,Smileys,0,
😨,Smileys,0,
😩,Smileys,0,
🤯,Smileys,0,
😬,Smileys,0,
😰,Smileys,0,
😱,Smileys,0,
🥵,Smileys,0,
🥶,Smileys,0,
😳,Smileys,0,
🤪,Smileys,0,
😵,Smileys,0,
😡,Smileys,0,
😠,Smileys,0,
🤬,Smileys,0,
😷,Smileys,0,
🤒,Smileys,0,
🤕,Smileys,0,
🤢,Smileys,0,
🤮,Smileys,0,
🤧,Smileys,0,
😇,Smileys,0,
🤠,Smileys,0,
🤡,Smileys,0,
🥳,Smileys,0,
🥴,Smileys,0,
🥺,Smileys,0,
🤥,Smileys,0,
🤫,Smileys,1,비밀
🤭,Smileys,0,
🧐,Smileys,0,
🤓,Smileys,0,
😈,Smileys,0,
👿,Smileys,0,
👹,Smileys,0,
👺,Smileys,0,
💀,Smileys,0,
👻,Smileys,0,
👽,Smileys,0,
🤖,Smileys,0,
💩,Smileys,0,
😺,Smileys,0,
😸,Smileys,0,
😹,Smileys,0,
😻,Smileys,0,
😼,Smileys,0,
😽,Smileys,0,
🙀,Smileys,0,
😿,Smileys,0,
😾,Smileys,0,
👶,People and Fantasy,0,
👧,People and Fantasy,0,
🧒,People and Fantasy,0,
👦,People and Fantasy,0,
👩,People and Fantasy,0,
🧑,People and Fantasy,0,
👨,People and Fantasy,0,
👵,People and Fantasy,0,
🧓,People and Fantasy,0,
👴,People and Fantasy,0,
👲,People and Fantasy,0,
👳‍♀️,People and Fantasy,0,
👳‍♂️,People and Fantasy,0,
🧕,People and Fantasy,0,
🧔,People and Fantasy,0,
👱‍♂️,People and Fantasy,0,
👱‍♀️,People and Fantasy,0,
👨‍🦰,People and Fantasy,0,
👩‍🦰,People and Fantasy,0,
👨‍🦱,People and Fantasy,0,
👩‍🦱,People and Fantasy,0,
👨‍🦲,People and Fantasy,0,
👩‍🦲,People and Fantasy,0,
👨‍🦳,People and Fantasy,0,
👩‍🦳,People and Fantasy,0,
🦸‍♀️,People and Fantasy,0,
🦸‍♂️,People and Fantasy,0,
🦹‍♀️,People and Fantasy,0,
🦹‍♂️,People and Fantasy,0,
👮‍♀️,People and Fantasy,0,
👮‍♂️,People and Fantasy,0,
👷‍♀️,People and Fantasy,0,
👷‍♂️,People and Fantasy,0,
💂‍♀️,People and Fantasy,0,
💂‍♂️,People and Fantasy,0,
🕵️‍♀️,People and Fantasy,0,
🕵️‍♂️,People and Fantasy,0,
👩‍⚕️,People and Fantasy,0,
👨‍⚕️,People and Fantasy,0,
👩‍🌾,People and Fantasy,0,
👨‍🌾,People and Fantasy,0,
👩‍🍳,People and Fantasy,0,
👨‍🍳,People and Fantasy,0,
👩‍🎓,People and Fantasy,0,
👨‍🎓,People and Fantasy,0,
👩‍🎤,People and Fantasy,0,
👨‍🎤,People and Fantasy,0,
👩‍🏫,People and Fantasy,0,
👨‍🏫,People and Fantasy,0,
👩‍🏭,People and Fantasy,0,
👨‍🏭,People and Fantasy,0,
👩‍💻,People and Fantasy,0,
👨‍💻,People and Fantasy,0,
👩‍💼,People and Fantasy,0,
👨‍💼,People and Fantasy,0,
👩‍🔧,People and Fantasy,0,
👨‍🔧,People and Fantasy,0,
👩‍🔬,People and Fantasy,0,
👨‍🔬,People and Fantasy,0,
👩‍🎨,People and Fantasy,0,
👨‍🎨,People and Fantasy,0,
👩‍🚒,People and Fantasy,0,
👨‍🚒,People and Fantasy,0,
👩‍✈️,People and Fantasy,0,
👨‍✈️,People and Fantasy,0,
👩‍🚀,People and Fantasy,0,
👨‍🚀,People and Fantasy,0,
👩‍⚖️,People and Fantasy,0,
👨‍⚖️,People and Fantasy,0,
👰,People and Fantasy,0,
🤵,People and Fantasy,0,
👸,People and Fantasy,0,
🤴,People and Fantasy,0,
🤶,People and Fantasy,0,
🎅,People and Fantasy,0,
🧙‍♀️,People and Fantasy,0,
🧙‍♂️,People and Fantasy,0,
🧝‍♀️,People and Fantasy,0,
🧝‍♂️,People and Fantasy,0,
🧛‍♀️,People and Fantasy,0,
🧛‍♂️,People and Fantasy,0,
🧟‍♀️,People and Fantasy,0,
🧟‍♂️,People and Fantasy,0,
🧞‍♀️,People and Fantasy,0,
🧞‍♂️,People and Fantasy,0,
🧜‍♀️,People and Fantasy,0,
🧜‍♂️,People and Fantasy,0,
🧚‍♀️,People and Fantasy,0,
🧚‍♂️,People and Fantasy,0,
👼,People and Fantasy,0,
🤰,People and Fantasy,0,
🤱,People and Fantasy,0,
🙇‍♀️,People and Fantasy,0,
🙇‍♂️,People and Fantasy,0,
💁‍♀️,People and Fantasy,0,
💁‍♂️,People and Fantasy,0,
🙅‍♀️,People and Fantasy,0,
🙅‍♂️,People and Fantasy,0,
🙆‍♀️,People and Fantasy,0,
🙆‍♂️,People and Fantasy,0,
🙋‍♀️,People and Fantasy,0,
🙋‍♂️,People and Fantasy,0,
🤦‍♀️,People and Fantasy,0,
🤦‍♂️,People and Fantasy,0,
🤷‍♀️,People and Fantasy,0,
🤷‍♂️,People and Fantasy,0,
🙎‍♀️,People and Fantasy,0,
🙎‍♂️,People and Fantasy,0,
🙍‍♀️,People and Fantasy,0,
🙍‍♂️,People and Fantasy,0,
💇‍♀️,People and Fantasy,0,
💇‍♂️,People and Fantasy,0,
💆‍♀️,People and Fantasy,0,
💆‍♂️,People and Fantasy,0,
🧖‍♀️,People and Fantasy,0,
🧖‍♂️,People and Fantasy,0,
💅,People and Fantasy,0,
🤳,People and Fantasy,0,
💃,People and Fantasy,0,
🕺,People and Fantasy,0,
👯‍♀️,People and Fantasy,0,
👯‍♂️,People and Fantasy,0,
🕴,People and Fantasy,0,
🚶‍♀️,People and Fantasy,0,
🚶‍♂️,People and Fantasy,0,
🏃‍♀️,People and Fantasy,0,
🏃‍♂️,People and Fantasy,0,
👫,People and Fantasy,0,
👭,People and Fantasy,0,
👬,People and Fantasy,0,
💑,People and Fantasy,0,
👩‍❤️‍👩,People and Fantasy,0,
👨‍❤️‍👨,People and Fantasy,0,
💏,People and Fantasy,0,
👩‍❤️‍💋‍👩,People and Fantasy,0,
👨‍❤️‍💋‍👨,People and Fantasy,0,
👪,People and Fantasy,0,
👨‍👩‍👧,People and Fantasy,0,
👨‍👩‍👧‍👦,People and Fantasy,0,
👨‍👩‍👦‍👦,People and Fantasy,0,
👨‍👩‍👧‍👧,People and Fantasy,0,
👩‍👩‍👦,People and Fantasy,0,
👩‍👩‍👧,People and Fantasy,0,
👩‍👩‍👧‍👦,People and Fantasy,0,
👩‍👩‍👦‍👦,People and Fantasy,0,
👩‍👩‍👧‍👧,People and Fantasy,0,
👨‍👨‍👦,People and Fantasy,0,
👨‍👨‍👧,People and Fantasy,0,
👨‍👨‍👧‍👦,People and Fantasy,0,
👨‍👨‍👦‍👦,People and Fantasy,0,
👨‍👨‍👧‍👧,People and Fantasy,0,
👩‍👦,People and Fantasy,0,
👩‍👧,People and Fantasy,0,
👩‍👧‍👦,People and Fantasy,0,
👩‍👦‍👦,People and Fantasy,0,
👩‍👧‍👧,People and Fantasy,0,
👨‍👦,People and Fantasy,0,
👨‍👧,People and Fantasy,0,
👨‍👧‍👦,People and Fantasy,0,
👨‍👦‍👦,People and Fantasy,0,
👨‍👧‍👧,People and Fantasy,0,
🤲,People and Fantasy,0,
👐,People and Fantasy,0,
🙌,People and Fantasy,0,
👏,People and Fantasy,0,
🤝,People and Fantasy,0,
👍,People and Fantasy,1,추천
👎,People and Fantasy,0,
👊,People and Fantasy,0,
✊,People and Fantasy,0,
🤛,People and Fantasy,0,
🤜,People and Fantasy,0,
🤞,People and Fantasy,0,
✌️,People and Fantasy,0,
🤟,People and Fantasy,0,
🤘,People and Fantasy,0,
👌,People and Fantasy,0,
👈,People and Fantasy,0,
👉,People and Fantasy,0,
👆,People and Fantasy,0,
👇,People and Fantasy,0,
☝️,People and Fantasy,0,
✋,People and Fantasy,0,
🤚,People and Fantasy,0,
🖐,People and Fantasy,0,
🖖,People and Fantasy,0,
👋,People and Fantasy,0,
🤙,People and Fantasy,0,
💪,People and Fantasy,1,운동
🦵,People and Fantasy,0,
🦶,People and Fantasy,0,
🖕,People and Fantasy,0,
✍️,People and Fantasy,1,일기
🙏,People and Fantasy,1,기도
💍,People and Fantasy,0,
💄,People and Fantasy,0,
💋,People and Fantasy,0,
👄,People and Fantasy,0,
👅,People and Fantasy,0,
👂,People and Fantasy,0,
👃,People and Fantasy,0,
👣,People and Fantasy,0,
👁,People and Fantasy,0,
👀,People and Fantasy,0,
🧠,People and Fantasy,1,생각
🦴,People and Fantasy,0,
🦷,People and Fantasy,0,
🗣,People and Fantasy,0,
👤,People and Fantasy,0,
